49 49 0  673
        5         2 -0.17499999999999982236
        5         4 -0.59499999999999952927
        5         5 7.4799999999999897682
        5         6 -0.59499999999999952927
        5         8 -0.17499999999999985012
        5         9 0
        5        10 0.80249999999999943601
        5        11 -1.2224999999999983658
        5        12 0.16500000000000011879
        5        13 0.16499999999999981348
        5        14 -0.037500000000000040246
        5        15 -0.037499999999999977796
        5        16 1.249000902703301108e-16
        5        17 2.3324999999999977973
        5        18 -4.5524999999999948841
        5        19 -0.12750000000000008549
        5        20 -0.12749999999999983569
        5        21 -1.1102230246251565404e-16
        5        24 -0.16500000000000020206
        5        25 -0.16499999999999989675
        5        29 -4.5524999999999966604
        5        30 2.3324999999999986855
        5        31 4.959649966839387412e-16
        5        32 -1.2225000000000003642
        5        33 0.80249999999999976907
        5        34 -0.16500000000000036859
        5        35 -0.16500000000000003553
        5        36 1.6098233857064769836e-15
        5        42 -0.12749999999999933609
        5        43 -0.12749999999999916955
        5        44 0.16500000000000100697
        5        45 0.16499999999999884204
        5        46 -1.4988010832439613296e-15
        5        47 -0.037499999999999880651
        5        48 -0.037499999999999686362
        5        49 -4.6820942106830982769e-16
        6         2 0
        6         3 -0.087499999999999952816
        6         5 -0.59499999999999952927
        6         6 3.7399999999999939959
        6         9 -0.087499999999999966693
        6        10 -0.12750000000000008549
        6        11 -0.12749999999999983569
        6        22 0.33749999999999991118
        6        23 -0.67499999999999926725
        6        24 0.16500000000000011879
        6        25 0.16499999999999981348
        6        26 -0.037500000000000040246
        6        27 -0.037499999999999977796
        6        28 1.249000902703301108e-16
        6        29 2.3324999999999977973
        6        30 -4.5524999999999948841
        6        31 -1.1102230246251565404e-16
        6        42 -0.54750000000000054179
        6        43 0.46499999999999996891
        6        44 -0.16500000000000036859
        6        45 -0.16500000000000003553
        6        46 1.6098233857064769836e-15
        7         4 -0.087499999999999869549
        7         7 1.8699999999999967759
        7         8 -0.29749999999999993117
        7        34 -0.16500000000000020206
        7        35 -0.16499999999999989675
        7        37 -2.2574999999999980638
        7        38 1.1849999999999996092
        7        39 0.46499999999999952482
        7        40 -0.54749999999999920952
        7        41 4.959649966839387412e-16
        8         4 0
        8         5 -0.17499999999999982236
        8         7 -0.29749999999999993117
        8         8 3.7399999999999939959
        8         9 -0.29749999999999993117
        8        17 -0.037500000000000040246
        8        18 -0.037499999999999977796
        8        32 0.80249999999999943601
        8        33 -1.2224999999999983658
        8        34 0.16500000000000011879
        8        35 0.16499999999999981348
        8        36 1.249000902703301108e-16
        8        37 1.1474999999999992983
        8        38 -2.2949999999999981526
        8        39 -0.12750000000000008549
        8        40 -0.12749999999999983569
        8        41 -1.1102230246251565404e-16
        8        44 -0.16500000000000020206
        8        45 -0.16499999999999989675
        8        47 -2.2574999999999980638
        8        48 1.1849999999999996092
        8        49 4.959649966839387412e-16
        9         5 0
        9         6 -0.087499999999999952816
        9         8 -0.29749999999999993117
        9         9 1.869999999999996998
        9        29 -0.037500000000000040246
        9        30 -0.037499999999999977796
        9        32 -0.12750000000000008549
        9        33 -0.12749999999999983569
        9        42 0.33749999999999991118
        9        43 -0.67499999999999926725
        9        44 0.16500000000000011879
        9        45 0.16499999999999981348
        9        46 1.249000902703301108e-16
        9        47 1.1474999999999992983
        9        48 -2.2949999999999981526
        9        49 -1.1102230246251565404e-16
       10         1 -0.12749999999999933609
       10         2 -1.2225000000000003642
       10         5 0.80249999999999954703
       10         6 -0.12750000000000008549
       10        10 14.849999999999997868
       10        11 -4.9950000000000001066
       10        12 1.1474999999999992983
       10        13 1.1474999999999997424
       10        14 -2.9143354396410359186e-15
       10        15 3.4555691641457997321e-15
       10        16 -6.8849999999999971223
       10        24 -5.7375000000000015987
       10        25 1.1475000000000008527
       10        29 -9.298117831235686026e-16
       10        30 -2.6367796834847467835e-16
       10        31 8.4431817780310374373e-16
       11         1 -0.12749999999999916955
       11         2 0.80249999999999976907
       11         5 -1.2224999999999983658
       11         6 -0.12749999999999994671
       11        10 -4.9950000000000001066
       11        11 14.849999999999992539
       11        12 1.1474999999999955236
       11        13 -5.7374999999999927169
       11        14 -4.6143644460983068711e-16
       11        15 -5.3429483060085658508e-16
       11        16 3.7747582837255322374e-15
       11        24 1.1475000000000004086
       11        25 1.1475000000000001865
       11        29 1.2906342661267444782e-15
       11        30 -9.0205620750793968909e-17
       11        31 -6.8850000000000042277
       12         1 0.16500000000000114575
       12         2 -0.16500000000000036859
       12         4 -0.16500000000000020206
       12         5 0.16500000000000011879
       12        10 1.1474999999999995204
       12        11 1.1474999999999959677
       12        12 14.850000000000001421
       12        13 -2.9699999999999944222
       12        14 -1.6875000000000011102
       12        15 0.33750000000000079936
       12        16 -6.8850000000000015632
       12        17 0.3375000000000000222
       12        18 0.33749999999999835687
       12        19 -5.7375000000000015987
       12        20 1.1475000000000004086
       12        21 -2.0249999999999994671
       13         1 0.16499999999999884204
       13         2 -0.16500000000000003553
       13         4 -0.16499999999999989675
       13         5 0.16499999999999981348
       13        10 1.1474999999999995204
       13        11 -5.7374999999999927169
       13        12 -2.9699999999999944222
       13        13 14.849999999999994316
       13        14 0.33750000000000041078
       13        15 0.33750000000000057732
       13        16 -2.0250000000000047962
       13        17 0.33749999999999924505
       13        18 -1.6874999999999986677
       13        19 1.1475000000000008527
       13        20 1.1475000000000001865
       13        21 -6.8850000000000033396
       14         1 -2.2949999999999990408
       14         2 1.1849999999999982769
       14         5 -0.037500000000000033307
       14        10 -2.9143354396410359186e-15
       14        11 -5.9674487573602164048e-16
       14        12 -1.6875000000000008882
       14        13 0.3375000000000005218
       14        14 7.4250000000000007105
       14        15 -4.9274999999999975486
       14        16 3.9412917374193057185e-15
       15         1 1.1474999999999995204
       15         2 -2.2574999999999967315
       15         5 -0.037499999999999977796
       15        10 3.5110803153770575591e-15
       15        11 -5.6205040621648549859e-16
       15        12 0.33750000000000079936
       15        13 0.33750000000000057732
       15        14 -4.9274999999999975486
       15        15 7.4249999999999944933
       15        16 -2.0250000000000052403
       16         1 -1.6098233857064769836e-15
       16         2 1.6098233857064769836e-15
       16         5 1.1102230246251565404e-16
       16        10 -6.8849999999999971223
       16        11 3.7747582837255322374e-15
       16        12 -6.885000000000000675
       16        13 -2.0250000000000047962
       16        14 4.1078251911130791996e-15
       16        15 -2.0250000000000052403
       16        16 17.820000000000000284
       17         1 -0.037499999999999866773
       17         4 -4.5524999999999966604
       17         5 2.3324999999999977973
       17         8 -0.037500000000000033307
       17        12 0.33750000000000013323
       17        13 0.33749999999999957812
       17        17 14.849999999999996092
       17        18 -9.8549999999999968736
       17        19 -9.5756735873919751612e-16
       17        20 1.0130785099704553431e-15
       17        21 -2.024999999999999023
       17        32 -2.9143354396410359186e-15
       17        33 -5.9674487573602164048e-16
       17        34 -1.6875000000000008882
       17        35 0.3375000000000005218
       17        36 3.9412917374193057185e-15
       18         1 -0.037499999999999686362
       18         4 2.3324999999999991296
       18         5 -4.5524999999999948841
       18         8 -0.037499999999999977796
       18        12 0.33749999999999846789
       18        13 -1.6874999999999991118
       18        17 -9.8549999999999968736
       18        18 14.849999999999990763
       18        19 -1.5265566588595902431e-16
       18        20 -9.0205620750793968909e-17
       18        21 1.3290253803668738317e-15
       18        32 3.5110803153770575591e-15
       18        33 -5.6205040621648549859e-16
       18        34 0.33750000000000079936
       18        35 0.33750000000000057732
       18        36 -2.0250000000000052403
       19         1 -0.67499999999999982236
       19         4 0.46499999999999958034
       19         5 -0.12750000000000008549
       19        12 -5.7375000000000015987
       19        13 1.1475000000000008527
       19        17 -9.298117831235686026e-16
       19        18 -2.6367796834847467835e-16
       19        19 7.4250000000000007105
       19        20 -2.4975000000000004974
       19        21 8.4431817780310374373e-16
       20         1 0.33749999999999980016
       20         4 -0.54749999999999920952
       20         5 -0.12749999999999994671
       20        12 1.1475000000000004086
       20        13 1.1475000000000001865
       20        17 1.2906342661267444782e-15
       20        18 -9.0205620750793968909e-17
       20        19 -2.4975000000000004974
       20        20 7.4250000000000007105
       20        21 -6.8850000000000042277
       21         1 -4.8208720887612428444e-16
       21         4 6.0698729914645439524e-16
       21         5 0
       21        12 -2.0249999999999999112
       21        13 -6.8850000000000042277
       21        17 -2.0249999999999994671
       21        18 1.3290253803668738317e-15
       21        19 8.4431817780310374373e-16
       21        20 -6.8850000000000033396
       21        21 17.820000000000003837
       22         2 -0.12749999999999933609
       22         3 -0.54750000000000054179
       22         6 0.33749999999999996669
       22        22 7.4249999999999971578
       22        23 -2.4974999999999996092
       22        24 1.1474999999999992983
       22        25 1.1474999999999997424
       22        26 -2.9143354396410359186e-15
       22        27 3.4555691641457997321e-15
       22        28 -6.8849999999999971223
       23         2 -0.12749999999999916955
       23         3 0.4649999999999999134
       23         6 -0.67499999999999926725
       23        22 -2.4974999999999996092
       23        23 7.4249999999999918288
       23        24 1.1474999999999955236
       23        25 -5.7374999999999927169
       23        26 -4.6143644460983068711e-16
       23        27 -5.3429483060085658508e-16
       23        28 3.7747582837255322374e-15
       24         2 0.16500000000000114575
       24         3 -0.16500000000000036859
       24         5 -0.16500000000000020206
       24         6 0.16500000000000011879
       24        10 -5.7375000000000015987
       24        11 1.1475000000000004086
       24        22 1.1474999999999995204
       24        23 1.1474999999999959677
       24        24 14.850000000000001421
       24        25 -2.9699999999999944222
       24        26 -1.6875000000000011102
       24        27 0.33750000000000079936
       24        28 -6.8850000000000015632
       24        29 0.3375000000000000222
       24        30 0.33749999999999835687
       24        31 -2.0249999999999994671
       25         2 0.16499999999999884204
       25         3 -0.16500000000000003553
       25         5 -0.16499999999999989675
       25         6 0.16499999999999981348
       25        10 1.1475000000000008527
       25        11 1.1475000000000001865
       25        22 1.1474999999999995204
       25        23 -5.7374999999999927169
       25        24 -2.9699999999999944222
       25        25 14.849999999999994316
       25        26 0.33750000000000041078
       25        27 0.33750000000000057732
       25        28 -2.0250000000000047962
       25        29 0.33749999999999924505
       25        30 -1.6874999999999986677
       25        31 -6.8850000000000033396
       26         2 -2.2949999999999990408
       26         3 1.1849999999999982769
       26         6 -0.037500000000000033307
       26        22 -2.9143354396410359186e-15
       26        23 -5.9674487573602164048e-16
       26        24 -1.6875000000000008882
       26        25 0.3375000000000005218
       26        26 7.4250000000000007105
       26        27 -4.9274999999999975486
       26        28 3.9412917374193057185e-15
       27         2 1.1474999999999995204
       27         3 -2.2574999999999967315
       27         6 -0.037499999999999977796
       27        22 3.5110803153770575591e-15
       27        23 -5.6205040621648549859e-16
       27        24 0.33750000000000079936
       27        25 0.33750000000000057732
       27        26 -4.9274999999999975486
       27        27 7.4249999999999944933
       27        28 -2.0250000000000052403
       28         2 -1.6098233857064769836e-15
       28         3 1.6098233857064769836e-15
       28         6 1.1102230246251565404e-16
       28        22 -6.8849999999999971223
       28        23 3.7747582837255322374e-15
       28        24 -6.885000000000000675
       28        25 -2.0250000000000047962
       28        26 4.1078251911130791996e-15
       28        27 -2.0250000000000052403
       28        28 17.820000000000000284
       29         2 -0.037499999999999866773
       29         5 -4.5524999999999966604
       29         6 2.3324999999999977973
       29         9 -0.037500000000000033307
       29        10 -9.5756735873919751612e-16
       29        11 1.0130785099704553431e-15
       29        24 0.33750000000000013323
       29        25 0.33749999999999957812
       29        29 14.849999999999996092
       29        30 -9.8549999999999968736
       29        31 -2.024999999999999023
       29        42 -2.9143354396410359186e-15
       29        43 -5.9674487573602164048e-16
       29        44 -1.6875000000000008882
       29        45 0.3375000000000005218
       29        46 3.9412917374193057185e-15
       30         2 -0.037499999999999686362
       30         5 2.3324999999999991296
       30         6 -4.5524999999999948841
       30         9 -0.037499999999999977796
       30        10 -1.5265566588595902431e-16
       30        11 -9.0205620750793968909e-17
       30        24 0.33749999999999846789
       30        25 -1.6874999999999991118
       30        29 -9.8549999999999968736
       30        30 14.849999999999990763
       30        31 1.3290253803668738317e-15
       30        42 3.5110803153770575591e-15
       30        43 -5.6205040621648549859e-16
       30        44 0.33750000000000079936
       30        45 0.33750000000000057732
       30        46 -2.0250000000000052403
       31         2 -4.8208720887612428444e-16
       31         5 6.0698729914645439524e-16
       31         6 0
       31        10 8.4431817780310374373e-16
       31        11 -6.8850000000000033396
       31        24 -2.0249999999999999112
       31        25 -6.8850000000000042277
       31        29 -2.0249999999999994671
       31        30 1.3290253803668738317e-15
       31        31 17.820000000000003837
       32         4 -0.12749999999999933609
       32         5 -1.2225000000000003642
       32         8 0.80249999999999954703
       32         9 -0.12750000000000008549
       32        17 -2.9143354396410359186e-15
       32        18 3.4555691641457997321e-15
       32        32 14.849999999999997868
       32        33 -4.9950000000000001066
       32        34 1.1474999999999992983
       32        35 1.1474999999999997424
       32        36 -6.8849999999999971223
       32        44 -5.7375000000000015987
       32        45 1.1475000000000008527
       32        47 -9.298117831235686026e-16
       32        48 -2.6367796834847467835e-16
       32        49 8.4431817780310374373e-16
       33         4 -0.12749999999999916955
       33         5 0.80249999999999976907
       33         8 -1.2224999999999983658
       33         9 -0.12749999999999994671
       33        17 -4.6143644460983068711e-16
       33        18 -5.3429483060085658508e-16
       33        32 -4.9950000000000001066
       33        33 14.849999999999992539
       33        34 1.1474999999999955236
       33        35 -5.7374999999999927169
       33        36 3.7747582837255322374e-15
       33        44 1.1475000000000004086
       33        45 1.1475000000000001865
       33        47 1.2906342661267444782e-15
       33        48 -9.0205620750793968909e-17
       33        49 -6.8850000000000042277
       34         4 0.16500000000000114575
       34         5 -0.16500000000000036859
       34         7 -0.16500000000000020206
       34         8 0.16500000000000011879
       34        17 -1.6875000000000011102
       34        18 0.33750000000000079936
       34        32 1.1474999999999995204
       34        33 1.1474999999999959677
       34        34 14.850000000000001421
       34        35 -2.9699999999999944222
       34        36 -6.8850000000000015632
       34        37 0.3375000000000000222
       34        38 0.33749999999999835687
       34        39 -5.7375000000000015987
       34        40 1.1475000000000004086
       34        41 -2.0249999999999994671
       35         4 0.16499999999999884204
       35         5 -0.16500000000000003553
       35         7 -0.16499999999999989675
       35         8 0.16499999999999981348
       35        17 0.33750000000000041078
       35        18 0.33750000000000057732
       35        32 1.1474999999999995204
       35        33 -5.7374999999999927169
       35        34 -2.9699999999999944222
       35        35 14.849999999999994316
       35        36 -2.0250000000000047962
       35        37 0.33749999999999924505
       35        38 -1.6874999999999986677
       35        39 1.1475000000000008527
       35        40 1.1475000000000001865
       35        41 -6.8850000000000033396
       36         4 -1.6098233857064769836e-15
       36         5 1.6098233857064769836e-15
       36         8 1.1102230246251565404e-16
       36        17 4.1078251911130791996e-15
       36        18 -2.0250000000000052403
       36        32 -6.8849999999999971223
       36        33 3.7747582837255322374e-15
       36        34 -6.885000000000000675
       36        35 -2.0250000000000047962
       36        36 17.820000000000000284
       37         4 -0.037499999999999866773
       37         7 -2.2574999999999980638
       37         8 1.1474999999999992983
       37        34 0.33750000000000013323
       37        35 0.33749999999999957812
       37        37 7.4249999999999953815
       37        38 -4.9274999999999984368
       37        39 -9.5756735873919751612e-16
       37        40 1.0130785099704553431e-15
       37        41 -2.024999999999999023
       38         4 -0.037499999999999686362
       38         7 1.1849999999999996092
       38         8 -2.2949999999999977085
       38        34 0.33749999999999846789
       38        35 -1.6874999999999991118
       38        37 -4.9274999999999984368
       38        38 7.4249999999999962697
       38        39 -1.5265566588595902431e-16
       38        40 -9.0205620750793968909e-17
       38        41 1.3290253803668738317e-15
       39         4 -0.67499999999999982236
       39         7 0.46499999999999958034
       39         8 -0.12750000000000008549
       39        34 -5.7375000000000015987
       39        35 1.1475000000000008527
       39        37 -9.298117831235686026e-16
       39        38 -2.6367796834847467835e-16
       39        39 7.4250000000000007105
       39        40 -2.4975000000000004974
       39        41 8.4431817780310374373e-16
       40         4 0.33749999999999980016
       40         7 -0.54749999999999920952
       40         8 -0.12749999999999994671
       40        34 1.1475000000000004086
       40        35 1.1475000000000001865
       40        37 1.2906342661267444782e-15
       40        38 -9.0205620750793968909e-17
       40        39 -2.4975000000000004974
       40        40 7.4250000000000007105
       40        41 -6.8850000000000042277
       41         4 -4.8208720887612428444e-16
       41         7 6.0698729914645439524e-16
       41         8 0
       41        34 -2.0249999999999999112
       41        35 -6.8850000000000042277
       41        37 -2.0249999999999994671
       41        38 1.3290253803668738317e-15
       41        39 8.4431817780310374373e-16
       41        40 -6.8850000000000033396
       41        41 17.820000000000003837
       42         5 -0.12749999999999933609
       42         6 -0.54750000000000054179
       42         9 0.33749999999999996669
       42        29 -2.9143354396410359186e-15
       42        30 3.4555691641457997321e-15
       42        42 7.4249999999999971578
       42        43 -2.4974999999999996092
       42        44 1.1474999999999992983
       42        45 1.1474999999999997424
       42        46 -6.8849999999999971223
       43         5 -0.12749999999999916955
       43         6 0.4649999999999999134
       43         9 -0.67499999999999926725
       43        29 -4.6143644460983068711e-16
       43        30 -5.3429483060085658508e-16
       43        42 -2.4974999999999996092
       43        43 7.4249999999999918288
       43        44 1.1474999999999955236
       43        45 -5.7374999999999927169
       43        46 3.7747582837255322374e-15
       44         5 0.16500000000000114575
       44         6 -0.16500000000000036859
       44         8 -0.16500000000000020206
       44         9 0.16500000000000011879
       44        29 -1.6875000000000011102
       44        30 0.33750000000000079936
       44        32 -5.7375000000000015987
       44        33 1.1475000000000004086
       44        42 1.1474999999999995204
       44        43 1.1474999999999959677
       44        44 14.850000000000001421
       44        45 -2.9699999999999944222
       44        46 -6.8850000000000015632
       44        47 0.3375000000000000222
       44        48 0.33749999999999835687
       44        49 -2.0249999999999994671
       45         5 0.16499999999999884204
       45         6 -0.16500000000000003553
       45         8 -0.16499999999999989675
       45         9 0.16499999999999981348
       45        29 0.33750000000000041078
       45        30 0.33750000000000057732
       45        32 1.1475000000000008527
       45        33 1.1475000000000001865
       45        42 1.1474999999999995204
       45        43 -5.7374999999999927169
       45        44 -2.9699999999999944222
       45        45 14.849999999999994316
       45        46 -2.0250000000000047962
       45        47 0.33749999999999924505
       45        48 -1.6874999999999986677
       45        49 -6.8850000000000033396
       46         5 -1.6098233857064769836e-15
       46         6 1.6098233857064769836e-15
       46         9 1.1102230246251565404e-16
       46        29 4.1078251911130791996e-15
       46        30 -2.0250000000000052403
       46        42 -6.8849999999999971223
       46        43 3.7747582837255322374e-15
       46        44 -6.885000000000000675
       46        45 -2.0250000000000047962
       46        46 17.820000000000000284
       47         5 -0.037499999999999866773
       47         8 -2.2574999999999980638
       47         9 1.1474999999999992983
       47        32 -9.5756735873919751612e-16
       47        33 1.0130785099704553431e-15
       47        44 0.33750000000000013323
       47        45 0.33749999999999957812
       47        47 7.4249999999999953815
       47        48 -4.9274999999999984368
       47        49 -2.024999999999999023
       48         5 -0.037499999999999686362
       48         8 1.1849999999999996092
       48         9 -2.2949999999999977085
       48        32 -1.5265566588595902431e-16
       48        33 -9.0205620750793968909e-17
       48        44 0.33749999999999846789
       48        45 -1.6874999999999991118
       48        47 -4.9274999999999984368
       48        48 7.4249999999999962697
       48        49 1.3290253803668738317e-15
       49         5 -4.8208720887612428444e-16
       49         8 6.0698729914645439524e-16
       49         9 0
       49        32 8.4431817780310374373e-16
       49        33 -6.8850000000000033396
       49        44 -2.0249999999999999112
       49        45 -6.8850000000000042277
       49        47 -2.0249999999999994671
       49        48 1.3290253803668738317e-15
       49        49 17.820000000000003837

